CRA_ID,ADDRESS,APPLICATION_DATE,CONSTRUCTION_TYPE,HCA_ABATED_VALUE,ABATEMENT_QUALIFYING_TERM,INCENTIVE_AMOUNT,LEED_CLASS,LEED_DATE,OWNERSHIP_TYPE,CITY_DETERMINATION,LONGITUDE,LATITUDE,DCED_NEIGHBORHOOD,NEIGHBORHOOD,COMMUNITY_COUNCIL_NEIGHBORHOOD,CONSTRUCTION_VALUE_IMPROVEMENT
a0F4W00000b23miUAA,1230 GILSEY AV,09/27/2022 12:00:00 AM,REHAB,129430,10,36527.64322242,NOT CERTIFIED,,,QUALIFIED,-84.58086602,39.1154205200299,,WEST PRICE HILL,WEST PRICE HILL,240000
a0F4W00000b23mnUAA,4428 SIMPSON AV,09/22/2022 12:00:00 AM,REHAB,207530,10,58568.97008382,NOT CERTIFIED,,,QUALIFIED,-84.38976857,39.1538568400299,,MADISONVILLE,MADISONVILLE,97000
a0F4W00000b23nHUAQ,5111 GLENSHADE AV,07/07/2022 12:00:00 AM,REHAB,131780,10,37190.85856332,NOT CERTIFIED,,,QUALIFIED,-84.38775498,39.1618062500299,,MADISONVILLE,MADISONVILLE,227549.18
a0F4W00000b23oOUAQ,3230 LINWOOD AV,12/14/2021 12:00:00 AM,NEW,562000,15,237910.864842,GOLD,05/10/2023 12:00:00 AM,,QUALIFIED,-84.42949758,39.1277936000299,,MOUNT LOOKOUT,MOUNT LOOKOUT,682000
a0F4W00000b23oTUAQ,3228 LINWOOD AV,12/09/2021 12:00:00 AM,NEW,562000,15,237910.864842,GOLD,05/02/2023 12:00:00 AM,,QUALIFIED,-84.4295554,39.1278448100299,,MOUNT LOOKOUT,MOUNT LOOKOUT,694373
a0F4W00000b23oUUAQ,3549 RAWSON PL,09/22/2022 12:00:00 AM,NEW,562000,15,237910.864842,GOLD,07/06/2023 12:00:00 AM,,QUALIFIED,-84.41761909,39.1502032100299,,OAKLEY,OAKLEY,601026
a0F4W00000b23oiUAA,3534 HAVEN ST,09/19/2022 12:00:00 AM,NEW,230010,10,64913.25981294,NOT CERTIFIED,,,QUALIFIED,-84.50519652,39.1468564900299,,AVONDALE,AVONDALE,446361.51
a0F4W00000b23pHUAQ,1607 MERRIMAC ST,09/27/2022 12:00:00 AM,NEW,400000,15,169331.5764,SILVER,02/21/2023 12:00:00 AM,,QUALIFIED,-84.47564788,39.1345493300299,,EVANSTON,EVANSTON,592109.45
a0F4W00000b23pgUAA,4121 33RD AV,09/29/2022 12:00:00 AM,NEW,613960,15,259907.03661636,PLATINUM,04/05/2023 12:00:00 AM,,QUALIFIED,-84.4345672,39.1534333800299,,OAKLEY,OAKLEY,563889.41
a0F4W00000b25ATUAY,4132 CHAMBERS ST,10/18/2022 12:00:00 AM,REHAB,194850,10,54990.4294359,NOT CERTIFIED,,,QUALIFIED,-84.53368866,39.1610638700299,,NORTHSIDE,NORTHSIDE,292362
a0F4W00000b25AiUAI,3531 MONTEITH AV,09/27/2022 12:00:00 AM,REHAB,379750,10,107172.7768965,PLATINUM,09/27/2022 12:00:00 AM,,QUALIFIED,-84.43705927,39.1402656400299,,HYDE PARK,HYDE PARK,682957.11
a0F4W00000b25B8UAI,4335 CONANT ST,10/14/2022 12:00:00 AM,REHAB,229850,10,64868.1047259,NOT CERTIFIED,,,QUALIFIED,-84.39818834,39.1533219400299,,MADISONVILLE,MADISONVILLE,304299
a0F4W00000b25BgUAI,6108 PRENTICE ST,10/13/2022 12:00:00 AM,REHAB,190000,10,53621.66586,NOT CERTIFIED,,,QUALIFIED,-84.39035,39.1595458571429,,MADISONVILLE,N/A,130385
