FISCAL_YEAR,RECORD_DATE,AMOUNT_EXPENDED
2016,12/13/2015 12:00:00 AM,2444303.89
2023,02/14/2023 12:00:00 AM,20081164.27
2019,06/11/2019 12:00:00 AM,23056810.65
2020,04/05/2020 12:00:00 AM,7649.46
2023,11/02/2022 12:00:00 AM,1701931.53
2018,12/17/2017 12:00:00 AM,2111077.09
2022,03/14/2022 12:00:00 AM,1618871.43
2017,08/26/2016 12:00:00 AM,1468479.42
2021,02/05/2021 12:00:00 AM,6390546.12
2020,02/03/2020 12:00:00 AM,920046.06
2017,11/26/2016 12:00:00 AM,55224.26
2015,12/31/2014 12:00:00 AM,6321412.23
2015,05/19/2015 12:00:00 AM,26359190.51
2016,10/02/2015 12:00:00 AM,7470666.06
2018,07/07/2017 12:00:00 AM,-512
2020,07/11/2019 12:00:00 AM,7862692.58
2017,05/19/2017 12:00:00 AM,2992844.05
2018,04/05/2018 12:00:00 AM,8183309.42
2020,10/24/2019 12:00:00 AM,1224670.82
2017,04/21/2017 12:00:00 AM,819055.76
2019,08/21/2018 12:00:00 AM,31294986.1
2021,01/04/2021 12:00:00 AM,674027.32
2024,05/22/2024 12:00:00 AM,3180405.06
2024,08/09/2023 12:00:00 AM,5412879.91
2021,05/05/2021 12:00:00 AM,8736964.35
2018,02/02/2018 12:00:00 AM,1754940.38
2015,04/16/2015 12:00:00 AM,4952356.91
2016,08/08/2015 12:00:00 AM,33971.13
2016,12/24/2015 12:00:00 AM,6140822.74
2015,08/03/2014 12:00:00 AM,716240.64
2017,05/01/2017 12:00:00 AM,8138927.66
2016,06/18/2016 12:00:00 AM,5672.19
2020,06/12/2020 12:00:00 AM,2428341.38
2024,06/30/2024 12:00:00 AM,0
2022,07/08/2021 12:00:00 AM,2334.7
2024,04/11/2024 12:00:00 AM,3556381.66
2021,10/08/2020 12:00:00 AM,9620943.85
2017,04/17/2017 12:00:00 AM,2179811.15
2024,04/25/2024 12:00:00 AM,4498853.31
2015,05/17/2015 12:00:00 AM,796301.12
2022,06/07/2022 12:00:00 AM,20046562.46
2023,03/21/2023 12:00:00 AM,2015705.75
2020,02/24/2020 12:00:00 AM,1187056.8
2017,03/24/2017 12:00:00 AM,3136584.24
2017,08/22/2016 12:00:00 AM,2128164.47
2024,03/04/2024 12:00:00 AM,2778819.79
2015,05/29/2015 12:00:00 AM,781870.32
2024,05/24/2024 12:00:00 AM,506841.56
2017,08/18/2016 12:00:00 AM,3581740.3
2024,04/12/2024 12:00:00 AM,6128036.39
2017,05/23/2017 12:00:00 AM,1144175.11
2020,07/20/2019 12:00:00 AM,408549.74
2018,02/03/2018 12:00:00 AM,148693.13
2018,04/02/2018 12:00:00 AM,1079785.36
2017,05/30/2017 12:00:00 AM,26401217.04
2018,09/21/2017 12:00:00 AM,7193199.22
2017,10/27/2016 12:00:00 AM,2451502.65
2017,10/13/2016 12:00:00 AM,2120387.65
2017,01/07/2017 12:00:00 AM,328138.73
2023,06/14/2023 12:00:00 AM,2597530.64
2024,09/21/2023 12:00:00 AM,6045332.08
2024,08/14/2023 12:00:00 AM,2857054.45
2024,01/24/2024 12:00:00 AM,5065679.34
2015,04/03/2015 12:00:00 AM,2122799.35
2024,02/12/2024 12:00:00 AM,4859187.19
2022,11/01/2021 12:00:00 AM,2381998.52
2023,01/24/2023 12:00:00 AM,1447757.31
2023,07/27/2022 12:00:00 AM,3072897.03
2018,03/01/2018 12:00:00 AM,3116374.01
2017,03/15/2017 12:00:00 AM,898504.39
2017,11/23/2016 12:00:00 AM,4773002.72
2022,07/30/2021 12:00:00 AM,3247938.16
2017,12/28/2016 12:00:00 AM,3095709.11
2019,06/03/2019 12:00:00 AM,1122528.75
2021,02/25/2021 12:00:00 AM,678582
2018,02/01/2018 12:00:00 AM,3069259.87
2017,11/28/2016 12:00:00 AM,7210132.98
2019,08/20/2018 12:00:00 AM,1020265.22
2019,03/06/2019 12:00:00 AM,1366347.8
2021,01/26/2021 12:00:00 AM,2899598.84
2023,02/03/2023 12:00:00 AM,599960.65
2016,10/12/2015 12:00:00 AM,1459906.41
2022,10/13/2021 12:00:00 AM,1782431.07
2021,10/23/2020 12:00:00 AM,3849002.95
2016,07/29/2015 12:00:00 AM,9321192.74
2022,10/31/2021 12:00:00 AM,137.5
2019,06/26/2019 12:00:00 AM,12574711.13
2023,04/06/2023 12:00:00 AM,2094066.85
2019,04/05/2019 12:00:00 AM,3583866.43
2022,12/10/2021 12:00:00 AM,2979970.81
2024,09/23/2023 12:00:00 AM,143948.22
2021,06/02/2021 12:00:00 AM,2997595.4
2022,01/24/2022 12:00:00 AM,2183512.79
2017,03/09/2017 12:00:00 AM,1035468.2
2017,04/23/2017 12:00:00 AM,-1782.85
2023,04/24/2023 12:00:00 AM,1039001.29
2019,07/16/2018 12:00:00 AM,5569945.46
2016,08/31/2015 12:00:00 AM,1522670.25
2024,11/15/2023 12:00:00 AM,3426663.41
2018,10/03/2017 12:00:00 AM,17545873.24
2020,05/14/2020 12:00:00 AM,1889969.83
2019,11/09/2018 12:00:00 AM,2281852.69
2024,10/10/2023 12:00:00 AM,37646693.65
2020,05/07/2020 12:00:00 AM,11452506.99
2024,03/06/2024 12:00:00 AM,6180179.51
2019,10/26/2018 12:00:00 AM,2454814.26
2023,02/16/2023 12:00:00 AM,6340349.12
2021,07/30/2020 12:00:00 AM,7162583.88
2021,09/13/2020 12:00:00 AM,2976244.16
2023,12/15/2022 12:00:00 AM,19285382.82
2015,03/02/2015 12:00:00 AM,2818353.55
2024,12/11/2023 12:00:00 AM,10292634.26
2023,09/22/2022 12:00:00 AM,6661364.22
2019,08/03/2018 12:00:00 AM,1725708.9
2023,06/26/2023 12:00:00 AM,-282397.44
2017,02/09/2017 12:00:00 AM,475354.16
2024,09/01/2023 12:00:00 AM,2140309.38
2018,04/01/2018 12:00:00 AM,1854.12
2016,04/06/2016 12:00:00 AM,5123693.13
2024,06/06/2024 12:00:00 AM,1920796.3
2023,09/11/2022 12:00:00 AM,3590072.7
2015,08/11/2014 12:00:00 AM,1373532.36
2016,04/26/2016 12:00:00 AM,1991028.59
2017,06/25/2017 12:00:00 AM,0
2015,05/03/2015 12:00:00 AM,1223137.06
2016,12/30/2015 12:00:00 AM,3163009.83
2018,08/01/2017 12:00:00 AM,3905113.71
2024,05/28/2024 12:00:00 AM,5001634.87
2024,12/01/2023 12:00:00 AM,3892959.89
2022,02/28/2022 12:00:00 AM,4274942.22
