Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
107,Tuesday Jul 30,boxscore,CIN,,CHC,W,6,3,,52-55,4,9.0,Martinez,Steele,Díaz,2:45,N,25678,.43,++,
108,Wednesday Jul 31,boxscore,CIN,,CHC,L,4,13,,52-56,4,9.0,Hendricks,Lodolo,,2:39,N,20733,.46,-,
109,Friday Aug 2,boxscore,CIN,,SFG,L,0,3,,52-57,5,10.0,Snell,Abbott,,2:16,N,28075,.39,--,
110,Saturday Aug 3,boxscore,CIN,,SFG,W,6,4,,53-57,4,9.0,Greene,Harrison,Díaz,2:14,N,32602,.32,+,
111,Sunday Aug 4,boxscore,CIN,,SFG,L,2,8,,53-58,5,9.0,Ray,Spiers,,2:55,D,27692,.36,-,
112,Monday Aug 5,boxscore,CIN,@,MIA,W,10,3,,54-58,4,8.5,Martinez,Muñoz,,2:47,N,9460,.28,+,
113,Tuesday Aug 6,boxscore,CIN,@,MIA,W,8,2,,55-58,4,8.5,Lodolo,Meyer,,2:38,N,7948,.36,++,
114,Wednesday Aug 7,boxscore,CIN,@,MIA,L,4,6,,55-59,5,9.5,Bellozo,Abbott,Faucher,2:44,N,8657,.44,-,
115,Thursday Aug 8,boxscore,CIN,@,MIA,W,10,4,10,56-59,4,9.5,Farmer,Ramirez,,3:16,N,8728,.29,+,
116,Friday Aug 9,boxscore,CIN,@,MIL,L,3,8,,56-60,5,10.5,Civale,Spiers,,2:34,N,37742,.41,-,
117,Saturday Aug 10,boxscore,CIN,@,MIL,L,0,1,,56-61,5,11.5,Payamps,Santillan,Williams,2:03,N,38639,.31,--,
118,Sunday Aug 11,boxscore,CIN,@,MIL,W,4,3,,57-61,4,10.5,Farmer,Ross,Díaz,2:34,D,40049,.22,+,
119,Monday Aug 12,boxscore,CIN,,STL,W,6,1,,58-61,4,9.5,Abbott,Gray,,2:18,N,21682,.32,++,
120,Tuesday Aug 13,boxscore,CIN,,STL,W,4,1,,59-61,3,8.5,Greene,Fedde,Díaz,1:59,N,19107,.39,+++,
121,Wednesday Aug 14,boxscore,CIN,,STL,W,9,2,,60-61,2,8.5,Moll,Gibson,,2:39,N,15967,.49,++++,
122,Friday Aug 16,boxscore,CIN,,KCR,L,1,7,,60-62,2,10.0,Lorenzen,Martinez,,2:26,N,32500,.48,-,
123,Saturday Aug 17,boxscore,CIN,,KCR,L,1,13,,60-63,4,11.0,Wacha,Lodolo,,2:39,N,35430,.38,--,
124,Sunday Aug 18,boxscore,CIN,,KCR,L,1,8,,60-64,4,12.0,Singer,Abbott,,2:41,D,30388,.29,---,
125,Monday Aug 19,boxscore,CIN,@,TOR,W,6,3,,61-64,3,11.5,Santillan,Gausman,,2:33,N,25603,.23,+,
126,Tuesday Aug 20,boxscore,CIN,@,TOR,L,3,10,,61-65,4,12.5,Berríos,Spiers,,2:19,N,34662,.25,-,
127,Wednesday Aug 21,boxscore,CIN,@,TOR,W,11,7,,62-65,3,11.5,Pagán,Little,,3:16,N,27057,.17,+,
128,Thursday Aug 22,boxscore,CIN,@,PIT,L,0,7,,62-66,4,11.5,Skenes,Lodolo,,2:24,N,16635,.24,-,
129,Friday Aug 23,boxscore,CIN,@,PIT,L,5,6,,62-67,4,12.5,Santana,Wilson,Bednar,2:49,N,19941,.16,--,
130,Saturday Aug 24,boxscore,CIN,@,PIT,W,10,2,,63-67,4,12.5,Aguiar,Woodford,Kelly,2:28,N,38137,.12,+,
131,Sunday Aug 25,boxscore,CIN,@,PIT,L-wo,3,4,,63-68,4,12.5,Chapman,Díaz,,2:43,D,18653,.12,-,
132,Tuesday Aug 27,boxscore,CIN,,OAK,L,4,5,,63-69,4,12.5,Otañez,Santillan,Miller,2:57,N,15786,.09,--,
133,Wednesday Aug 28,boxscore,CIN,,OAK,L,6,9,,63-70,4,13.5,Ferguson,Pagán,Miller,2:27,N,12065,.05,---,
134,Thursday Aug 29,boxscore,CIN,,OAK,W-wo,10,9,,64-70,4,13.5,Pagán,Holman,,2:49,N,36098,.03,+,
135,Friday Aug 30 (1),boxscore,CIN,,MIL,L,4,5,10,64-71,4,15.5,Megill,Díaz,Williams,3:10,D,14436,.03,-,
136,Friday Aug 30 (2),boxscore,CIN,,MIL,L,0,14,,64-72,4,15.5,Hall,Lowder,,2:40,N,22488,.03,--,
